Date,Close,High,Low,Open,Volume
,XLK,XLK,XLK,XLK,XLK
2024-04-03,102.39281463623047,102.92109980875846,101.58311236513732,101.6077999258922,10670000
2024-04-04,100.77339935302734,103.73079102361869,100.7190897385896,103.37036924890232,16464800
2024-04-05,101.92871856689453,102.44712722341698,100.93139984548417,101.21282448578545,12808800
2024-04-08,101.81021118164062,102.32861220709923,101.43497839846266,101.99288554171329,8125800
2024-04-09,102.32368469238281,102.54585765182536,101.0449490174359,102.33356122250485,9400800
2024-04-10,101.06963348388672,101.4448587476084,100.63515657483065,101.15849965151097,13836800
2024-04-11,103.0889663696289,103.25682973423774,101.03015030297752,101.5189293666083,10563600
2024-04-12,101.42018127441406,102.33850276576774,101.04495597338243,101.85959272527984,16186800
2024-04-15,99.49466705322266,102.10644806532486,99.34161473471488,102.04226191875632,17189000
2024-04-16,99.6131591796875,100.23031050980607,99.21818835528006,99.71190941937493,14914000
2024-04-17,98.17643737792969,100.14637961760832,98.10237469758383,99.97851626256136,13090400
2024-04-18,97.05567932128906,98.39860110260514,96.95199459198517,98.14679856011779,15280600
2024-04-19,95.05610656738281,97.00136857496942,94.81418055755512,96.68538742620714,21880000
2024-04-22,95.90531158447266,96.48296429461918,94.83393783656823,95.7868158233201,13293400
2024-04-23,97.3272476196289,97.47042343086198,96.16206546522929,96.30524127646237,12151600
2024-04-24,97.7715835571289,98.4529210491294,97.23342939521422,98.04806615284339,9160200
2024-04-25,97.55928802490234,97.7419624130124,96.12255787988137,96.55209280698806,11568000
2024-04-26,98.66028594970703,99.38111451960275,97.9443918786019,98.32949372467462,10104200
2024-04-29,99.08488464355469,99.31693415359092,98.5072318846089,99.16881632303374,7494800
2024-04-30,96.90264129638672,99.14413174993261,96.87301923609982,98.74421886888737,14929000
2024-05-01,95.9102554321289,98.0036355483766,95.89050990347125,96.38423098935729,20453600
2024-05-02,97.29268646240234,97.42599327935915,95.91026576625147,97.13469961536074,13340000
2024-05-03,100.0031967163086,100.33892340254529,99.56871979662806,99.92419954298757,13316400
2024-05-06,101.17825317382812,101.17825317382812,100.23030964299427,100.38336949975186,8021000
2024-05-07,100.84746551513672,101.5238685204352,100.83759651767677,101.4744933987921,10020800
2024-05-08,101.1338119506836,101.24243117779396,100.46235106199451,100.48703861971684,7176000
2024-05-09,101.10418701171875,101.18318418074354,100.60058947616652,100.97088023068748,9589600
2024-05-10,101.47943115234375,102.0867135269712,101.15851545212814,101.63249102091224,8753800
2024-05-13,101.95833587646484,102.30888115239637,101.63742019306817,102.22494947417854,6582000
2024-05-14,102.86184692382812,103.00503025433936,101.86453577683574,101.92377989506895,9825200
